,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,text,mark
0,0.0,0.0,0.0,0.0,0.0,😁🤣,0
1,1.0,1.0,1.0,1.0,1.0,Оо кудай балдарыбыз сактай кор тура жолго сал,0
2,2.0,2.0,2.0,2.0,2.0,соңы жоқ па немене,0
3,3.0,3.0,3.0,3.0,3.0,"Дин канша тармакка болинген . Мухаммбет пайгамбар казахтардын болмысына карай бизге суннит тармаган калдырган , ен меиримди , ен дурыс тармагы АЛЛАГА САНСЫЗ ЩУКИР . ОСЫ ПАЙГАМБАРЫМЫЗ БИЗГЕ ТАСТАП КЕТКЕН ДИНДИ УСТАНАЙЫК КАЗАГЫМ , АДАСПАЙЫК . ОНСЫЗДА АЗБЫЗ , БИЗДИ ТЫМТЫРАКАЙ БОЛИП ТАСТАУ , БИЗДИН ЖАУЛАРЫМЫЗГА ОТЕ ЫНГАЙЛЫ ИС . АЛ МЫНА ВИДЕО ОТЕ ДУРЫС КОРСЕТИЛГЕН , ШЫНЫ КЕРЕК КЕШТЕУ ДЕП АЙТСАКТА БОЛАДЫ  ОКИРИШКЕ ОРАЙ . ОСЫЛАЙ ЖУРЕ БЕРСЕК ДИННИН ТАРМАКТАРЫНА БОЛИНИП , БИР КЕЗДЕ БИР БИРИМИЗБЕН СОГЫСЫП ЖАТПАЙЫК БАУЫРЛАР . ВАХАБИЗМ , ТАБИГИ ЖАМАГАТ , САЛЯФИЗМ ТАРМАКТАРЫ КАТЫГЕЗ , КАНШЕР , ИМАНСЫЗ ТАРМАКТАР . ОЙЛАН КАЗАК , ОЙЛАН КАЗАК , ОЙЛАН КАЗАК .  КЕШ БОЛЫП КАЛМАСЫН , <br>АЛ АЙТЫНДАРШЫ КАЗАК , НЕ МАЗ ТАПТЫ МЫНА СОРЛЫ ШАЙТАННЫН АЙТКАНЫНА ЛЕСИП",0
4,4.0,4.0,4.0,4.0,4.0,Аллахдан коркула,0
5,5.0,5.0,5.0,5.0,5.0,Аяғы жоқ қой,0
6,6.0,6.0,6.0,6.0,6.0,Каждый могут  со своим жизним не кто не имет права,0
7,7.0,7.0,7.0,7.0,7.0,Малдар го тусиниксиз бир бале шщс. Ахи дит сакалы жок тауыктын коти уксатып🤣 уахаб екем деп герой . Колдарнан каяда келмейт,0
8,8.0,8.0,8.0,8.0,8.0,Алла тагала жаман жолдан сактасын баршамызды,0
9,9.0,9.0,9.0,9.0,9.0,Футболды жақсы ойнайды  екен😂,0
10,10.0,10.0,10.0,10.0,10.0,Мынанын ишинде биреуинде сакалы жок,0
11,11.0,11.0,11.0,11.0,11.0,Айелдер жайлы айтканына келиспим бауырым.Тек айелдер гана емес барлык адамдарда болады ол минез.Мын айтканын кылып бир айтканын кылмасан булкан талкан болады кейбир адамдар,0
12,12.0,12.0,12.0,12.0,12.0,Соны неболды енди дурыстап тусирмеисиндерма,0
13,13.0,13.0,13.0,13.0,13.0,Это атырау детка,0
14,14.0,14.0,14.0,14.0,14.0,"Дұрыс айтады, жабылғы жауып журу керек.",0
15,15.0,15.0,15.0,15.0,15.0,Эх ханафи мәзһаб неткен керемет  пайғамбарымыз с.ғ.с сағындым,0
16,16.0,16.0,16.0,16.0,16.0,"Надо учить людей религии , обьяснять какой путь правильный какой нет .",0
17,17.0,17.0,17.0,17.0,17.0,"шығады,  аулие шатаспа",0
